en,ko,emoji,group
ant,개미,🐜,알파벳 단어
ball,공,⚽,알파벳 단어
car,자동차,🚗,알파벳 단어
dog,개,🐶,알파벳 단어
edge,모서리,📐,알파벳 단어
fat,뚱뚱한,🐷,알파벳 단어
gift,선물,🎁,알파벳 단어
hat,모자,🧢,알파벳 단어
ice,얼음,🧊,알파벳 단어
jump,뛰다,🤸,알파벳 단어
kick,차다,🥋,알파벳 단어
leg,다리,🦵,알파벳 단어
milk,우유,🥛,알파벳 단어
neck,목,🦒,알파벳 단어
old,늙은,👴,알파벳 단어
pink,핑크,💗,알파벳 단어
quiz,퀴즈,❓,알파벳 단어
run,달리다,🏃,알파벳 단어
sit,앉다,🪑,알파벳 단어
time,시간,⏰,알파벳 단어
up,위로,⬆️,알파벳 단어
vest,조끼,🦺,알파벳 단어
wood,나무토막,🪵,알파벳 단어
six,6,6️⃣,알파벳 단어
yellow,노란색,💛,알파벳 단어
zebra,얼룩말,🦓,알파벳 단어
angry,화난,😠,파닉스 1단계
apple,사과,🍎,파닉스 1단계
ill,아픈,🤒,파닉스 1단계
in,~안에,📦,파닉스 1단계
